data_year,period,period_label,metric,dim_value_canon,scope,unit,from_report_id,from_value,to_report_id,to_value,delta,delta_pct,is_latest_step,n_vintages
2022,FY,2022,funding_by_vertical_size,fintech,all,usd,2024,91500000.0,2025,91800000.0,300000,0.33,FALSE,6
2021,FY,2021,total_deal_count,,all,count,2024,343.0,2025,344.0,1,0.29,FALSE,3
2021,FY,2021,total_deal_count,,all,count,2025,344.0,2026q2,343.0,-1,-0.29,TRUE,3
2021,FY,2021,total_deal_count,,ex_getir_bigg,count,2024,340.0,2025,341.0,1,0.29,FALSE,3
2021,FY,2021,total_deal_count,,ex_getir_bigg,count,2025,341.0,2026q2,340.0,-1,-0.29,TRUE,3
2023,FY,2023,total_deal_count,,all,count,2025,365.0,2026q2,366.0,1,0.27,TRUE,3
2023,FY,2023,total_deal_count,,ex_getir_bigg,count,2025,364.0,2026q2,365.0,1,0.27,TRUE,3
2022,FY,2022,funding_by_vertical_size,saas,all,usd,2022,148000000.0,2023,148400000.0,400000,0.27,FALSE,6
2019,FY,2019,funding_by_vertical_size,grocery_delivery,all,usd,2019,38000000.0,2023,38100000.0,100000,0.26,FALSE,3
2025,FY,2025,funding_by_vertical_size,fintech,all,usd,2026q1,220000000.0,2026q2,220400000.0,400000,0.18,TRUE,3
2024,FY,2024,total_deal_count,,all,count,2025,588.0,2026q2,589.0,1,0.17,TRUE,3
2022,FY,2022,funding_by_vertical_size,marketingtech,all,usd,2022,125000000.0,2024,125200000.0,200000,0.16,FALSE,5
2024,FY,2024,funding_by_vertical_size,fintech,all,usd,2026q1,196600000.0,2026q2,196900000.0,300000,0.15,TRUE,4
2023,FY,2023,total_deal_size,,all,usd,2024,736000000.0,2025,737000000.0,1e+06,0.14,FALSE,3
2023,FY,2023,total_deal_size,,all,usd,2025,737000000.0,2026q2,738000000.0,1e+06,0.14,TRUE,3
2025,FY,2025,funding_by_vertical_size,fintech,all,usd,2025,219700000.0,2026q1,220000000.0,300000,0.14,FALSE,3
2025,FY,2025,funding_by_vertical_size,gaming,all,usd,2025,180900000.0,2026q1,181000000.0,100000,0.06,FALSE,3
2021,FY,2021,funding_by_vertical_size,grocery_delivery,all,usd,2021,984000000.0,2023,984400000.0,400000,0.04,FALSE,3
2022,FY,2022,funding_by_vertical_size,grocery_delivery,all,usd,2022,768000000.0,2023,768200000.0,200000,0.03,FALSE,3
